2023-12-25 17:15:50.226 [info] Log level: Info
2023-12-25 17:15:50.226 [info] Validating found git in: "git"
2023-12-25 17:15:50.226 [info] Using git "2.34.1" from "git"
2023-12-25 17:15:50.228 [info] > git rev-parse --show-toplevel [3ms]
2023-12-25 17:15:50.241 [info] > git rev-parse --show-toplevel [1ms]
2023-12-25 17:15:50.255 [info] > git rev-parse --show-toplevel [5ms]
2023-12-25 17:15:50.264 [info] > git rev-parse --show-toplevel [1ms]
2023-12-25 17:15:50.276 [info] > git rev-parse --show-toplevel [1ms]
2023-12-25 17:15:50.286 [info] > git rev-parse --show-toplevel [3ms]
2023-12-25 17:15:50.298 [info] > git rev-parse --show-toplevel [2ms]
2023-12-25 17:15:50.308 [info] > git rev-parse --show-toplevel [2ms]
2023-12-25 17:15:50.317 [info] > git rev-parse --show-toplevel [3ms]
2023-12-25 17:15:50.330 [info] > git rev-parse --show-toplevel [1ms]
2023-12-25 17:15:50.335 [info] > git rev-parse --show-toplevel [1ms]
2023-12-25 17:15:50.341 [info] > git rev-parse --show-toplevel [1ms]
2023-12-25 17:15:50.345 [info] > git rev-parse --show-toplevel [0ms]
2023-12-25 17:15:50.351 [info] > git rev-parse --show-toplevel [1ms]
2023-12-25 17:15:50.365 [info] > git rev-parse --show-toplevel [6ms]
2023-12-25 17:15:50.374 [info] > git rev-parse --show-toplevel [1ms]
2023-12-25 17:15:50.381 [info] > git rev-parse --show-toplevel [2ms]
2023-12-25 17:15:50.387 [info] > git rev-parse --show-toplevel [1ms]
2023-12-25 17:15:50.407 [info] > git rev-parse --show-toplevel [3ms]
2023-12-25 17:15:50.420 [info] > git rev-parse --show-toplevel [3ms]
2023-12-25 17:15:50.431 [info] > git rev-parse --show-toplevel [2ms]
2023-12-25 17:15:50.438 [info] > git rev-parse --show-toplevel [2ms]
2023-12-25 17:15:50.445 [info] > git rev-parse --show-toplevel [1ms]
2023-12-25 17:15:50.453 [info] > git rev-parse --show-toplevel [2ms]
2023-12-25 17:15:50.463 [info] > git rev-parse --show-toplevel [1ms]
2023-12-25 17:15:50.471 [info] > git rev-parse --show-toplevel [2ms]
2023-12-25 17:15:50.482 [info] > git rev-parse --show-toplevel [2ms]
2023-12-25 17:15:50.488 [info] > git rev-parse --show-toplevel [1ms]
2023-12-25 17:15:50.495 [info] > git rev-parse --show-toplevel [2ms]
2023-12-25 17:15:50.513 [info] > git rev-parse --show-toplevel [1ms]
2023-12-25 17:15:51.150 [info] > git rev-parse --show-toplevel [4ms]
2023-12-25 17:15:51.191 [info] > git rev-parse --show-toplevel [2ms]
2023-12-25 17:15:51.359 [info] > git rev-parse --show-toplevel [1ms]
2023-12-25 17:15:51.500 [info] > git rev-parse --show-toplevel [15ms]
2023-12-25 17:15:51.659 [info] > git rev-parse --show-toplevel [1ms]
