2023-12-23 07:03:17.684 [info] Log level: Info
2023-12-23 07:03:17.684 [info] Validating found git in: "git"
2023-12-23 07:03:17.684 [info] Using git "2.34.1" from "git"
2023-12-23 07:03:17.684 [info] > git rev-parse --show-toplevel [13ms]
2023-12-23 07:03:17.691 [info] > git rev-parse --show-toplevel [11ms]
2023-12-23 07:03:17.701 [info] > git rev-parse --show-toplevel [1ms]
2023-12-23 07:03:17.714 [info] > git rev-parse --show-toplevel [0ms]
2023-12-23 07:03:17.726 [info] > git rev-parse --show-toplevel [2ms]
2023-12-23 07:03:17.739 [info] > git rev-parse --show-toplevel [2ms]
2023-12-23 07:03:17.748 [info] > git rev-parse --show-toplevel [2ms]
2023-12-23 07:03:17.759 [info] > git rev-parse --show-toplevel [2ms]
2023-12-23 07:03:17.769 [info] > git rev-parse --show-toplevel [1ms]
2023-12-23 07:03:17.778 [info] > git rev-parse --show-toplevel [1ms]
2023-12-23 07:03:17.799 [info] > git rev-parse --show-toplevel [3ms]
2023-12-23 07:03:17.818 [info] > git rev-parse --show-toplevel [4ms]
2023-12-23 07:03:17.839 [info] > git rev-parse --show-toplevel [1ms]
2023-12-23 07:03:17.851 [info] > git rev-parse --show-toplevel [1ms]
2023-12-23 07:03:17.858 [info] > git rev-parse --show-toplevel [2ms]
2023-12-23 07:03:17.868 [info] > git rev-parse --show-toplevel [1ms]
2023-12-23 07:03:17.875 [info] > git rev-parse --show-toplevel [2ms]
2023-12-23 07:03:17.880 [info] > git rev-parse --show-toplevel [1ms]
2023-12-23 07:03:17.886 [info] > git rev-parse --show-toplevel [2ms]
2023-12-23 07:03:17.896 [info] > git rev-parse --show-toplevel [1ms]
2023-12-23 07:03:44.692 [info] > git rev-parse --show-toplevel [2ms]
2023-12-23 07:04:55.965 [info] > git rev-parse --show-toplevel [38ms]
2023-12-23 07:05:55.914 [info] > git rev-parse --show-toplevel [7ms]
